id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_title,cluster,track_id
03fs6oV5JAlbytRYf3371S,0.567,0.841,8.0,-3.933,1.0,0.0263,0.00543,0.000922,0.137,0.712,103.982,audio_features,spotify:track:03fs6oV5JAlbytRYf3371S,https://api.spotify.com/v1/tracks/03fs6oV5JAlbytRYf3371S,https://api.spotify.com/v1/audio-analysis/03fs6oV5JAlbytRYf3371S,187047.0,4.0,Morgan Wallen,Everything I Love,1.0,
03z1ObWCIuqVNDLW8xGWhJ,0.615,0.477,8.0,-4.095,1.0,0.041,0.81,0.0,0.0856,0.457,76.923,audio_features,spotify:track:03z1ObWCIuqVNDLW8xGWhJ,https://api.spotify.com/v1/tracks/03z1ObWCIuqVNDLW8xGWhJ,https://api.spotify.com/v1/audio-analysis/03z1ObWCIuqVNDLW8xGWhJ,149606.0,3.0,Josiah and the Bonnevilles,Wintering - Country Version,8.0,
04CyO54TZk5tEylFg2Df41,0.382,0.675,0.0,-6.56,1.0,0.0441,0.0128,0.000246,0.219,0.449,106.171,audio_features,spotify:track:04CyO54TZk5tEylFg2Df41,https://api.spotify.com/v1/tracks/04CyO54TZk5tEylFg2Df41,https://api.spotify.com/v1/audio-analysis/04CyO54TZk5tEylFg2Df41,234867.0,1.0,Thirty Seconds To Mars,Love Is Madness (feat. Halsey),0.0,
04VGYuFhcXPOz2YCwvv3GR,0.511,0.64,7.0,-12.799,1.0,0.035,0.58,0.0,0.0521,0.787,151.732,audio_features,spotify:track:04VGYuFhcXPOz2YCwvv3GR,https://api.spotify.com/v1/tracks/04VGYuFhcXPOz2YCwvv3GR,https://api.spotify.com/v1/audio-analysis/04VGYuFhcXPOz2YCwvv3GR,197307.0,4.0,The Ozark Mountain Daredevils,Country Girl,7.0,
04WxWo7XeVyx22xEsrWRUb,0.624,0.65,2.0,-5.819,1.0,0.0358,0.0229,1.21e-05,0.145,0.138,150.048,audio_features,spotify:track:04WxWo7XeVyx22xEsrWRUb,https://api.spotify.com/v1/tracks/04WxWo7XeVyx22xEsrWRUb,https://api.spotify.com/v1/audio-analysis/04WxWo7XeVyx22xEsrWRUb,127992.0,4.0,Travis Scott,GOD'S COUNTRY,0.0,
056C7cc51npJRQodzI60u9,0.263,0.179,10.0,-13.937,1.0,0.0297,0.942,3.49e-05,0.0897,0.0796,101.748,audio_features,spotify:track:056C7cc51npJRQodzI60u9,https://api.spotify.com/v1/tracks/056C7cc51npJRQodzI60u9,https://api.spotify.com/v1/audio-analysis/056C7cc51npJRQodzI60u9,239827.0,4.0,Camera Obscura,Country Mile,8.0,
057hCbfZV3NcensFMGNrXH,0.464,0.124,9.0,-17.572,0.0,0.0412,0.992,0.928,0.109,0.329,99.068,audio_features,spotify:track:057hCbfZV3NcensFMGNrXH,https://api.spotify.com/v1/tracks/057hCbfZV3NcensFMGNrXH,https://api.spotify.com/v1/audio-analysis/057hCbfZV3NcensFMGNrXH,129507.0,4.0,O'Donel Levy,Love Story,4.0,
05NSS4q3BxCMnQlgMkzj0F,0.682,0.521,6.0,-4.802,1.0,0.0317,0.663,0.0,0.135,0.319,121.928,audio_features,spotify:track:05NSS4q3BxCMnQlgMkzj0F,https://api.spotify.com/v1/tracks/05NSS4q3BxCMnQlgMkzj0F,https://api.spotify.com/v1/audio-analysis/05NSS4q3BxCMnQlgMkzj0F,259800.0,4.0,Aaron Lewis,Country Boy - Acoustic Version,8.0,
05xdNjmLn8cQvN1qDgXH6c,0.665,0.768,0.0,-4.887,1.0,0.0369,0.0884,0.0,0.348,0.77,132.049,audio_features,spotify:track:05xdNjmLn8cQvN1qDgXH6c,https://api.spotify.com/v1/tracks/05xdNjmLn8cQvN1qDgXH6c,https://api.spotify.com/v1/audio-analysis/05xdNjmLn8cQvN1qDgXH6c,167535.0,4.0,HARDY,TRUCK BED,2.0,
064SVQsmWl5EF0zahmzkQk,0.596,0.897,3.0,-5.224,1.0,0.0402,0.0367,0.0,0.151,0.853,108.194,audio_features,spotify:track:064SVQsmWl5EF0zahmzkQk,https://api.spotify.com/v1/tracks/064SVQsmWl5EF0zahmzkQk,https://api.spotify.com/v1/audio-analysis/064SVQsmWl5EF0zahmzkQk,196827.0,4.0,The Bellamy Brothers,Let Your Love Flow,2.0,
06JvOZ39sK8D8SqiqfaxDU,0.712,0.861,5.0,-5.487,0.0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,audio_features,spotify:track:06JvOZ39sK8D8SqiqfaxDU,https://api.spotify.com/v1/tracks/06JvOZ39sK8D8SqiqfaxDU,https://api.spotify.com/v1/audio-analysis/06JvOZ39sK8D8SqiqfaxDU,148571.0,4.0,Kanye West,True Love,6.0,
06dAFXkgM2OGAkGS3CxpEm,0.672,0.526,2.0,-15.157,0.0,0.0527,0.0389,0.00313,0.0443,0.851,90.67,audio_features,spotify:track:06dAFXkgM2OGAkGS3CxpEm,https://api.spotify.com/v1/tracks/06dAFXkgM2OGAkGS3CxpEm,https://api.spotify.com/v1/audio-analysis/06dAFXkgM2OGAkGS3CxpEm,325067.0,4.0,Pat Benatar,Love Is A Battlefield,9.0,
