danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.719,0.538,11,-6.897,0,0.28,0.632,0.0,0.135,0.803,204.132,audio_features,4e0FYxSROat25pH16zMTZI,spotify:track:4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/tracks/4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/audio-analysis/4e0FYxSROat25pH16zMTZI,117013,4
0.799,0.501,0,-7.244,1,0.0465,0.211,0.0123,0.118,0.635,92.032,audio_features,2HotTAoFiOYTeMZkNs1Ces,spotify:track:2HotTAoFiOYTeMZkNs1Ces,https://api.spotify.com/v1/tracks/2HotTAoFiOYTeMZkNs1Ces,https://api.spotify.com/v1/audio-analysis/2HotTAoFiOYTeMZkNs1Ces,201434,4
0.486,0.712,1,-4.388,0,0.0328,0.00936,0.0,0.0764,0.244,99.128,audio_features,5J4ZkQpzMUFojo1CtAZYpn,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/tracks/5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/audio-analysis/5J4ZkQpzMUFojo1CtAZYpn,236133,4
0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,audio_features,5VSCgNlSmTV2Yq5lB40Eaw,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,https://api.spotify.com/v1/tracks/5VSCgNlSmTV2Yq5lB40Eaw,https://api.spotify.com/v1/audio-analysis/5VSCgNlSmTV2Yq5lB40Eaw,239894,4
0.517,0.821,9,-3.504,1,0.105,0.00341,0.0,0.148,0.617,160.052,audio_features,26QLJMK8G0M06sk7h7Fkse,spotify:track:26QLJMK8G0M06sk7h7Fkse,https://api.spotify.com/v1/tracks/26QLJMK8G0M06sk7h7Fkse,https://api.spotify.com/v1/audio-analysis/26QLJMK8G0M06sk7h7Fkse,154517,4
0.762,0.649,11,-5.624,0,0.0527,0.58,1.7e-05,0.0971,0.501,145.09,audio_features,293mQGfVwgXIOdA1GpiwAt,spotify:track:293mQGfVwgXIOdA1GpiwAt,https://api.spotify.com/v1/tracks/293mQGfVwgXIOdA1GpiwAt,https://api.spotify.com/v1/audio-analysis/293mQGfVwgXIOdA1GpiwAt,239146,4
0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,audio_features,45Egmo7icyopuzJN0oMEdk,spotify:track:45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,201707,4
0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-06,0.317,0.844,105.029,audio_features,0TcJ7QWpggdSg8t0fHThHm,spotify:track:0TcJ7QWpggdSg8t0fHThHm,https://api.spotify.com/v1/tracks/0TcJ7QWpggdSg8t0fHThHm,https://api.spotify.com/v1/audio-analysis/0TcJ7QWpggdSg8t0fHThHm,216333,4
0.607,0.792,8,-6.419,1,0.0287,0.104,0.0,0.122,0.188,102.204,audio_features,2cgUEhSKpvcrKuNVeChvgJ,spotify:track:2cgUEhSKpvcrKuNVeChvgJ,https://api.spotify.com/v1/tracks/2cgUEhSKpvcrKuNVeChvgJ,https://api.spotify.com/v1/audio-analysis/2cgUEhSKpvcrKuNVeChvgJ,207567,4
0.608,0.463,8,-7.005,1,0.0286,0.265,1.61e-06,0.0743,0.271,93.957,audio_features,53KWkwzQq47p13swqiLAMI,spotify:track:53KWkwzQq47p13swqiLAMI,https://api.spotify.com/v1/tracks/53KWkwzQq47p13swqiLAMI,https://api.spotify.com/v1/audio-analysis/53KWkwzQq47p13swqiLAMI,233325,4
