artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
kohto,country roads - Instrumental,5Ooyt5rRIsN9VdbAU9dx89,0.233,0.101,8,-30.802,1,0.0427,0.992,0.965,0.351,0.259,135.938,audio_features,spotify:track:5Ooyt5rRIsN9VdbAU9dx89,https://api.spotify.com/v1/tracks/5Ooyt5rRIsN9VdbAU9dx89,https://api.spotify.com/v1/audio-analysis/5Ooyt5rRIsN9VdbAU9dx89,105597,4
B. Myers,Country Booty,53DXOzQLdY6l25qZhAzKxI,0.717,0.589,4,-8.049,1,0.0369,0.0737,0.0,0.359,0.703,117.888,audio_features,spotify:track:53DXOzQLdY6l25qZhAzKxI,https://api.spotify.com/v1/tracks/53DXOzQLdY6l25qZhAzKxI,https://api.spotify.com/v1/audio-analysis/53DXOzQLdY6l25qZhAzKxI,133123,4
"Brooks & Dunn, Marcus King",Rock My World (Little Country Girl) (with Marcus King),0Vi38S4jUg2eKo6EoY0qbv,0.444,0.849,9,-4.029,1,0.0682,0.0199,0.0238,0.115,0.47,124.74,audio_features,spotify:track:0Vi38S4jUg2eKo6EoY0qbv,https://api.spotify.com/v1/tracks/0Vi38S4jUg2eKo6EoY0qbv,https://api.spotify.com/v1/audio-analysis/0Vi38S4jUg2eKo6EoY0qbv,291336,4
Florida Georgia Line,I Love My Country,3pCVwcutoZr2xbqD2mEKC5,0.525,0.94,4,-3.546,1,0.065,0.0283,0.0,0.236,0.636,140.093,audio_features,spotify:track:3pCVwcutoZr2xbqD2mEKC5,https://api.spotify.com/v1/tracks/3pCVwcutoZr2xbqD2mEKC5,https://api.spotify.com/v1/audio-analysis/3pCVwcutoZr2xbqD2mEKC5,185467,4
Chris Cagle,Country By The Grace Of God,6VwLBqr2rACOF3dhmq7bmh,0.567,0.952,5,-6.382,1,0.0857,0.0255,3.03e-06,0.376,0.543,111.844,audio_features,spotify:track:6VwLBqr2rACOF3dhmq7bmh,https://api.spotify.com/v1/tracks/6VwLBqr2rACOF3dhmq7bmh,https://api.spotify.com/v1/audio-analysis/6VwLBqr2rACOF3dhmq7bmh,207600,4
The Avett Brothers,Country Kid,3qvDxdZDGwATRHTOf1JmPI,0.607,0.913,7,-2.937,1,0.0563,0.0592,2.95e-06,0.44,0.943,150.01,audio_features,spotify:track:3qvDxdZDGwATRHTOf1JmPI,https://api.spotify.com/v1/tracks/3qvDxdZDGwATRHTOf1JmPI,https://api.spotify.com/v1/audio-analysis/3qvDxdZDGwATRHTOf1JmPI,213120,4
Kelsey Hart,Country In Business,14ooSQGzm47ZeoK35NLyGn,0.448,0.867,7,-4.307,0,0.0383,0.012,0.0,0.315,0.789,178.056,audio_features,spotify:track:14ooSQGzm47ZeoK35NLyGn,https://api.spotify.com/v1/tracks/14ooSQGzm47ZeoK35NLyGn,https://api.spotify.com/v1/audio-analysis/14ooSQGzm47ZeoK35NLyGn,163200,4
Cole Peers trio,Country house,3UZL035zZvEx7DbZbwB1ti,0.592,0.129,10,-18.235,1,0.0383,0.942,0.939,0.108,0.381,120.047,audio_features,spotify:track:3UZL035zZvEx7DbZbwB1ti,https://api.spotify.com/v1/tracks/3UZL035zZvEx7DbZbwB1ti,https://api.spotify.com/v1/audio-analysis/3UZL035zZvEx7DbZbwB1ti,175000,4
Tyler Hubbard,5 Foot 9,51wnGywCwEzVXYrbQrutJd,0.605,0.79,5,-5.576,1,0.0454,0.16,0.0,0.126,0.507,105.997,audio_features,spotify:track:51wnGywCwEzVXYrbQrutJd,https://api.spotify.com/v1/tracks/51wnGywCwEzVXYrbQrutJd,https://api.spotify.com/v1/audio-analysis/51wnGywCwEzVXYrbQrutJd,189773,4
George Strait,I Cross My Heart - Pure Country Soundtrack Version,6FHXJu99aQAUnivEjPhuUR,0.527,0.442,3,-10.139,1,0.0259,0.266,5.49e-05,0.106,0.284,131.052,audio_features,spotify:track:6FHXJu99aQAUnivEjPhuUR,https://api.spotify.com/v1/tracks/6FHXJu99aQAUnivEjPhuUR,https://api.spotify.com/v1/audio-analysis/6FHXJu99aQAUnivEjPhuUR,212000,4
HARDY,LIVE FOREVER,4fv7DmRplJIb84VxSmFApa,0.516,0.946,5,-2.759,0,0.0616,0.0165,0.000207,0.15,0.48,144.038,audio_features,spotify:track:4fv7DmRplJIb84VxSmFApa,https://api.spotify.com/v1/tracks/4fv7DmRplJIb84VxSmFApa,https://api.spotify.com/v1/audio-analysis/4fv7DmRplJIb84VxSmFApa,234840,4
Walker Hayes,U Gurl,2rg4XjA7c178S1tloI8uE8,0.79,0.726,2,-5.065,1,0.0344,0.0367,0.0,0.455,0.706,113.993,audio_features,spotify:track:2rg4XjA7c178S1tloI8uE8,https://api.spotify.com/v1/tracks/2rg4XjA7c178S1tloI8uE8,https://api.spotify.com/v1/audio-analysis/2rg4XjA7c178S1tloI8uE8,152760,4
Thomas Rhett,Country Again,5It9x935sg2iWLDKCa8Njq,0.467,0.481,2,-6.948,1,0.026,0.274,0.000266,0.109,0.231,147.745,audio_features,spotify:track:5It9x935sg2iWLDKCa8Njq,https://api.spotify.com/v1/tracks/5It9x935sg2iWLDKCa8Njq,https://api.spotify.com/v1/audio-analysis/5It9x935sg2iWLDKCa8Njq,221240,4
Seether,Country Song,31wwz9sPWYt0EGHMRBJKLW,0.63,0.86,0,-6.117,1,0.0327,0.00115,1.19e-06,0.231,0.911,95.978,audio_features,spotify:track:31wwz9sPWYt0EGHMRBJKLW,https://api.spotify.com/v1/tracks/31wwz9sPWYt0EGHMRBJKLW,https://api.spotify.com/v1/audio-analysis/31wwz9sPWYt0EGHMRBJKLW,229720,4
Flatland Cavalry,Country Is... (Far Out West Sessions),5KT3QCPIl13nujlY16vd2p,0.598,0.386,3,-8.617,1,0.0321,0.882,2.47e-05,0.0837,0.643,87.446,audio_features,spotify:track:5KT3QCPIl13nujlY16vd2p,https://api.spotify.com/v1/tracks/5KT3QCPIl13nujlY16vd2p,https://api.spotify.com/v1/audio-analysis/5KT3QCPIl13nujlY16vd2p,187333,4
Tyler Childers,Gemini,4eWV7VdatatMHWLt5ilzVZ,0.573,0.594,5,-7.751,1,0.033,0.619,3.97e-05,0.107,0.912,157.329,audio_features,spotify:track:4eWV7VdatatMHWLt5ilzVZ,https://api.spotify.com/v1/tracks/4eWV7VdatatMHWLt5ilzVZ,https://api.spotify.com/v1/audio-analysis/4eWV7VdatatMHWLt5ilzVZ,152907,4
Cam,Country Ain't Never Been Pretty,589MsyYBcxB75cy3iMChb8,0.819,0.874,7,-3.717,1,0.0654,0.0215,0.0,0.0771,0.921,125.996,audio_features,spotify:track:589MsyYBcxB75cy3iMChb8,https://api.spotify.com/v1/tracks/589MsyYBcxB75cy3iMChb8,https://api.spotify.com/v1/audio-analysis/589MsyYBcxB75cy3iMChb8,216480,4
Paul Cauthen,Country as Fuck,3rXcD1ODKBv1MJnb1PY2pL,0.798,0.609,2,-5.639,1,0.233,0.238,0.000164,0.148,0.604,86.955,audio_features,spotify:track:3rXcD1ODKBv1MJnb1PY2pL,https://api.spotify.com/v1/tracks/3rXcD1ODKBv1MJnb1PY2pL,https://api.spotify.com/v1/audio-analysis/3rXcD1ODKBv1MJnb1PY2pL,189586,4
Lee Brice,Some Things,6I5GCNtYKTIGqysCUZsE9u,0.526,0.834,1,-4.491,1,0.0326,0.0501,9.29e-06,0.104,0.393,143.946,audio_features,spotify:track:6I5GCNtYKTIGqysCUZsE9u,https://api.spotify.com/v1/tracks/6I5GCNtYKTIGqysCUZsE9u,https://api.spotify.com/v1/audio-analysis/6I5GCNtYKTIGqysCUZsE9u,184733,4
Alan Jackson,Gone Country,1A0I5aiVZRwecRlbQcweBh,0.681,0.719,7,-5.918,1,0.0248,0.131,1.65e-06,0.113,0.637,125.729,audio_features,spotify:track:1A0I5aiVZRwecRlbQcweBh,https://api.spotify.com/v1/tracks/1A0I5aiVZRwecRlbQcweBh,https://api.spotify.com/v1/audio-analysis/1A0I5aiVZRwecRlbQcweBh,259893,4
Cody Johnson,Dirt Cheap,7ccTKvB07btg9SkqCisEmP,0.62,0.507,1,-5.891,1,0.0307,0.111,0.0,0.101,0.266,120.065,audio_features,spotify:track:7ccTKvB07btg9SkqCisEmP,https://api.spotify.com/v1/tracks/7ccTKvB07btg9SkqCisEmP,https://api.spotify.com/v1/audio-analysis/7ccTKvB07btg9SkqCisEmP,239347,4
Corey Kent,Damn Good Country Song,7xXtjD7xcsp7HHl8T7Vy38,0.532,0.419,2,-6.575,1,0.127,0.551,1.2e-06,0.169,0.278,127.14,audio_features,spotify:track:7xXtjD7xcsp7HHl8T7Vy38,https://api.spotify.com/v1/tracks/7xXtjD7xcsp7HHl8T7Vy38,https://api.spotify.com/v1/audio-analysis/7xXtjD7xcsp7HHl8T7Vy38,148627,4
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),5GzLYJ6BbzSN4dvoP2kRwS,0.43,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.637,audio_features,spotify:track:5GzLYJ6BbzSN4dvoP2kRwS,https://api.spotify.com/v1/tracks/5GzLYJ6BbzSN4dvoP2kRwS,https://api.spotify.com/v1/audio-analysis/5GzLYJ6BbzSN4dvoP2kRwS,227196,4
"Walker Hayes, Jake Owen",Country Stuff (feat. Jake Owen),00fjo9x6qJTFwARfpQYijD,0.684,0.779,7,-7.028,1,0.134,0.0827,0.0,0.34,0.632,95.988,audio_features,spotify:track:00fjo9x6qJTFwARfpQYijD,https://api.spotify.com/v1/tracks/00fjo9x6qJTFwARfpQYijD,https://api.spotify.com/v1/audio-analysis/00fjo9x6qJTFwARfpQYijD,154587,4
Morgan Wallen,Somethin’ Country,1yyehJzJ8r6o8czJG6LbNu,0.592,0.942,2,-4.441,1,0.039,0.171,0.0,0.291,0.742,146.024,audio_features,spotify:track:1yyehJzJ8r6o8czJG6LbNu,https://api.spotify.com/v1/tracks/1yyehJzJ8r6o8czJG6LbNu,https://api.spotify.com/v1/audio-analysis/1yyehJzJ8r6o8czJG6LbNu,172627,4
Elton John,Country Comfort,5p9MpS0JdzVfbdJuHwhvqI,0.553,0.615,9,-10.641,1,0.0392,0.473,0.0,0.119,0.591,136.12,audio_features,spotify:track:5p9MpS0JdzVfbdJuHwhvqI,https://api.spotify.com/v1/tracks/5p9MpS0JdzVfbdJuHwhvqI,https://api.spotify.com/v1/audio-analysis/5p9MpS0JdzVfbdJuHwhvqI,306867,4
Jon Pardi,Call Me Country,2VMIRF3DkxkbnNaasPPXv7,0.497,0.784,9,-4.58,1,0.0337,0.00227,8.03e-05,0.233,0.5,151.896,audio_features,spotify:track:2VMIRF3DkxkbnNaasPPXv7,https://api.spotify.com/v1/tracks/2VMIRF3DkxkbnNaasPPXv7,https://api.spotify.com/v1/audio-analysis/2VMIRF3DkxkbnNaasPPXv7,229547,3
Mini Thin,Country Creepin,25ySZyiQMnwjZGxG7bwZpg,0.813,0.318,7,-15.715,0,0.112,0.507,0.0,0.132,0.76,91.089,audio_features,spotify:track:25ySZyiQMnwjZGxG7bwZpg,https://api.spotify.com/v1/tracks/25ySZyiQMnwjZGxG7bwZpg,https://api.spotify.com/v1/audio-analysis/25ySZyiQMnwjZGxG7bwZpg,95153,4
Tyler Hubbard,5 Foot 9,7tpHFxFjDpb1Ufpb7YfFPn,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,audio_features,spotify:track:7tpHFxFjDpb1Ufpb7YfFPn,https://api.spotify.com/v1/tracks/7tpHFxFjDpb1Ufpb7YfFPn,https://api.spotify.com/v1/audio-analysis/7tpHFxFjDpb1Ufpb7YfFPn,189780,4
Lainey Wilson,Watermelon Moonshine,3sYBFUXTv0STUoUINx9Qe8,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,audio_features,spotify:track:3sYBFUXTv0STUoUINx9Qe8,https://api.spotify.com/v1/tracks/3sYBFUXTv0STUoUINx9Qe8,https://api.spotify.com/v1/audio-analysis/3sYBFUXTv0STUoUINx9Qe8,208853,4
"Jordan Davis, Luke Bryan",Buy Dirt,7BOqPNJVJKl3LTPhT58UE9,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,audio_features,spotify:track:7BOqPNJVJKl3LTPhT58UE9,https://api.spotify.com/v1/tracks/7BOqPNJVJKl3LTPhT58UE9,https://api.spotify.com/v1/audio-analysis/7BOqPNJVJKl3LTPhT58UE9,167480,4
Glen Campbell,Country Boy (You Got Your Feet In L.A.),1QoPtpJPMP0Zx8oxd0eDip,0.643,0.735,10,-8.621,1,0.0255,0.379,0.0,0.0605,0.885,114.212,audio_features,spotify:track:1QoPtpJPMP0Zx8oxd0eDip,https://api.spotify.com/v1/tracks/1QoPtpJPMP0Zx8oxd0eDip,https://api.spotify.com/v1/audio-analysis/1QoPtpJPMP0Zx8oxd0eDip,187376,4
Wynn Williams,Country Therapy,1ggqgxluk25jn21KuXFNHn,0.584,0.931,11,-5.503,1,0.0324,0.0111,6.49e-06,0.286,0.904,125.974,audio_features,spotify:track:1ggqgxluk25jn21KuXFNHn,https://api.spotify.com/v1/tracks/1ggqgxluk25jn21KuXFNHn,https://api.spotify.com/v1/audio-analysis/1ggqgxluk25jn21KuXFNHn,179042,4
"Kng Ego, TN GRIZZLY",Country Gangsta (feat. TN GRIZZLY),1eEZRZoH7iLReCSV4S90lg,0.759,0.36,10,-13.359,1,0.419,0.0045,0.0,0.117,0.46,149.822,audio_features,spotify:track:1eEZRZoH7iLReCSV4S90lg,https://api.spotify.com/v1/tracks/1eEZRZoH7iLReCSV4S90lg,https://api.spotify.com/v1/audio-analysis/1eEZRZoH7iLReCSV4S90lg,182468,4
Dylan Gossett,Coal,2W0lxduA3m4q5oMxEBKxkH,0.522,0.223,1,-9.561,0,0.0345,0.753,0.0,0.165,0.439,97.045,audio_features,spotify:track:2W0lxduA3m4q5oMxEBKxkH,https://api.spotify.com/v1/tracks/2W0lxduA3m4q5oMxEBKxkH,https://api.spotify.com/v1/audio-analysis/2W0lxduA3m4q5oMxEBKxkH,194440,4
Kameron Marlowe,Country Boy's Prayer,2Pnw07JGKNZYta0UrHox5X,0.575,0.667,8,-5.209,1,0.0324,0.31,0.0,0.0917,0.406,139.908,audio_features,spotify:track:2Pnw07JGKNZYta0UrHox5X,https://api.spotify.com/v1/tracks/2Pnw07JGKNZYta0UrHox5X,https://api.spotify.com/v1/audio-analysis/2Pnw07JGKNZYta0UrHox5X,224160,4
Russell Dickerson,God Gave Me A Girl,6xXe14KpigMYiu2XoQ1Tto,0.518,0.845,7,-5.051,1,0.0647,0.249,0.0,0.0764,0.37,142.133,audio_features,spotify:track:6xXe14KpigMYiu2XoQ1Tto,https://api.spotify.com/v1/tracks/6xXe14KpigMYiu2XoQ1Tto,https://api.spotify.com/v1/audio-analysis/6xXe14KpigMYiu2XoQ1Tto,187227,4
