artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
John Denver,"Take Me Home, Country Roads - Original Version",1YYhDizHx7PnDhAhko6cDS,0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,audio_features,spotify:track:1YYhDizHx7PnDhAhko6cDS,https://api.spotify.com/v1/tracks/1YYhDizHx7PnDhAhko6cDS,https://api.spotify.com/v1/audio-analysis/1YYhDizHx7PnDhAhko6cDS,190160,4
Luke Bryan,Country Girl (Shake It For Me),0JbSghVDghtFEurrSO8JrC,0.644,0.904,2,-4.532,1,0.0464,0.0295,0.0,0.0834,0.672,105.969,audio_features,spotify:track:0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/tracks/0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/audio-analysis/0JbSghVDghtFEurrSO8JrC,225560,4
Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,audio_features,spotify:track:1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l,240760,4
Nelly,Country Grammar (Hot Shit),3wMUvT6eIw2L5cZFG1yH9j,0.881,0.663,2,-6.822,1,0.0827,0.00683,0.0,0.142,0.586,81.374,audio_features,spotify:track:3wMUvT6eIw2L5cZFG1yH9j,https://api.spotify.com/v1/tracks/3wMUvT6eIw2L5cZFG1yH9j,https://api.spotify.com/v1/audio-analysis/3wMUvT6eIw2L5cZFG1yH9j,287000,4
Morgan Wallen,You Proof,5W4kiM2cUYBJXKRudNyxjW,0.728,0.818,9,-5.068,1,0.0329,0.323,0.0,0.582,0.681,119.706,audio_features,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/tracks/5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/audio-analysis/5W4kiM2cUYBJXKRudNyxjW,157478,4
"Dave Portnoy, Caroline Baniewicz",Country Diddy,7vC8ZkOnS4u7f3JsCNiDGO,0.744,0.612,4,-8.514,0,0.285,0.000623,0.0,0.115,0.349,163.904,audio_features,spotify:track:7vC8ZkOnS4u7f3JsCNiDGO,https://api.spotify.com/v1/tracks/7vC8ZkOnS4u7f3JsCNiDGO,https://api.spotify.com/v1/audio-analysis/7vC8ZkOnS4u7f3JsCNiDGO,210732,4
Ella Langley,Country Boy's Dream Girl,5eVuVYp9OyD9dm6Wcyb5nr,0.591,0.787,8,-4.56,1,0.0407,0.249,0.0,0.11,0.436,139.997,audio_features,spotify:track:5eVuVYp9OyD9dm6Wcyb5nr,https://api.spotify.com/v1/tracks/5eVuVYp9OyD9dm6Wcyb5nr,https://api.spotify.com/v1/audio-analysis/5eVuVYp9OyD9dm6Wcyb5nr,185027,3
Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4
John Denver,"Take Me Home, Country Roads",1QbOvACeYanja5pbnJbAmk,0.38,0.43,9,-12.564,1,0.0288,0.546,1.71e-05,0.188,0.547,82.204,audio_features,spotify:track:1QbOvACeYanja5pbnJbAmk,https://api.spotify.com/v1/tracks/1QbOvACeYanja5pbnJbAmk,https://api.spotify.com/v1/audio-analysis/1QbOvACeYanja5pbnJbAmk,197813,4
Seether,Country Song,2abHKI9Oox4NBEhOh3HMbq,0.63,0.86,0,-6.117,1,0.0327,0.00115,1.19e-06,0.231,0.911,95.978,audio_features,spotify:track:2abHKI9Oox4NBEhOh3HMbq,https://api.spotify.com/v1/tracks/2abHKI9Oox4NBEhOh3HMbq,https://api.spotify.com/v1/audio-analysis/2abHKI9Oox4NBEhOh3HMbq,229720,4
"Morgan Wallen, Florida Georgia Line",Up Down (feat. Florida Georgia Line),2RfYofkWwN77WJjR1rpena,0.59,0.882,6,-3.041,1,0.0349,0.0803,0.0,0.146,0.792,129.929,audio_features,spotify:track:2RfYofkWwN77WJjR1rpena,https://api.spotify.com/v1/tracks/2RfYofkWwN77WJjR1rpena,https://api.spotify.com/v1/audio-analysis/2RfYofkWwN77WJjR1rpena,197253,4
"Hank Williams, Jr.",A Country Boy Can Survive,77dcKrzRUI02XjHd2okARp,0.688,0.459,7,-9.353,1,0.0365,0.144,0.0,0.0816,0.493,75.184,audio_features,spotify:track:77dcKrzRUI02XjHd2okARp,https://api.spotify.com/v1/tracks/77dcKrzRUI02XjHd2okARp,https://api.spotify.com/v1/audio-analysis/77dcKrzRUI02XjHd2okARp,255000,4
Tyler Childers,All Your'n,0fCwTrRNfoNk962ati8n2K,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97e-05,0.115,0.839,78.176,audio_features,spotify:track:0fCwTrRNfoNk962ati8n2K,https://api.spotify.com/v1/tracks/0fCwTrRNfoNk962ati8n2K,https://api.spotify.com/v1/audio-analysis/0fCwTrRNfoNk962ati8n2K,218280,4
Chris Stapleton,Think I'm In Love With You,3Gn1zuHNLtGuGEOXwq0k7e,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,audio_features,spotify:track:3Gn1zuHNLtGuGEOXwq0k7e,https://api.spotify.com/v1/tracks/3Gn1zuHNLtGuGEOXwq0k7e,https://api.spotify.com/v1/audio-analysis/3Gn1zuHNLtGuGEOXwq0k7e,222800,4
"Aaron Lewis, Charlie Daniels, Chris Young, George Jones","Country Boy (feat. Charlie Daniels, Chris Young, & George Jones)",5TzoqLAFczwhUMrjNlWITI,0.595,0.667,6,-6.442,1,0.034,0.296,0.0,0.109,0.275,121.943,audio_features,spotify:track:5TzoqLAFczwhUMrjNlWITI,https://api.spotify.com/v1/tracks/5TzoqLAFczwhUMrjNlWITI,https://api.spotify.com/v1/audio-analysis/5TzoqLAFczwhUMrjNlWITI,283347,4
HARDY,TRUCK BED,6CThut6kPrjot0pTJOTEer,0.663,0.77,0,-4.88,1,0.0371,0.0876,0.0,0.352,0.772,132.058,audio_features,spotify:track:6CThut6kPrjot0pTJOTEer,https://api.spotify.com/v1/tracks/6CThut6kPrjot0pTJOTEer,https://api.spotify.com/v1/audio-analysis/6CThut6kPrjot0pTJOTEer,167535,4
"Zach Bryan, Charles Wesley Godwin, Jonathan Peyton, abigail peyton","Country Roads (with Charles Wesley Godwin, Jonathan Peyton & Abigail Peyton) - Live",4mwEHjFmDLchZ9uKVhSu7U,0.357,0.867,7,-4.253,1,0.0797,0.251,0.0,0.827,0.463,92.293,audio_features,spotify:track:4mwEHjFmDLchZ9uKVhSu7U,https://api.spotify.com/v1/tracks/4mwEHjFmDLchZ9uKVhSu7U,https://api.spotify.com/v1/audio-analysis/4mwEHjFmDLchZ9uKVhSu7U,208861,4
Tyler Childers,Country Squire,1bp2PcwZgR9LwBdoERsOuJ,0.508,0.725,9,-7.203,1,0.0398,0.524,2.65e-05,0.479,0.916,166.872,audio_features,spotify:track:1bp2PcwZgR9LwBdoERsOuJ,https://api.spotify.com/v1/tracks/1bp2PcwZgR9LwBdoERsOuJ,https://api.spotify.com/v1/audio-analysis/1bp2PcwZgR9LwBdoERsOuJ,201427,4
Alan Jackson,Country Boy,5RuCWf4bJC0rqA05b7nWfd,0.73,0.684,9,-10.803,1,0.0351,0.259,1.53e-06,0.111,0.564,139.037,audio_features,spotify:track:5RuCWf4bJC0rqA05b7nWfd,https://api.spotify.com/v1/tracks/5RuCWf4bJC0rqA05b7nWfd,https://api.spotify.com/v1/audio-analysis/5RuCWf4bJC0rqA05b7nWfd,246080,4
Racoma,Country,6nNuWzPSGPZxgvQSNj9PfQ,0.519,0.462,11,-7.153,1,0.0318,0.539,0.0,0.183,0.516,139.676,audio_features,spotify:track:6nNuWzPSGPZxgvQSNj9PfQ,https://api.spotify.com/v1/tracks/6nNuWzPSGPZxgvQSNj9PfQ,https://api.spotify.com/v1/audio-analysis/6nNuWzPSGPZxgvQSNj9PfQ,187539,4
Luke Combs,The Kind of Love We Make,48UKTR66uUOT9LaUvooTNx,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4
Lana Del Rey,"Take Me Home, Country Roads",7qF0FfuzBFwMe1lNHkEDxW,0.321,0.151,9,-13.295,1,0.0296,0.923,4.6e-06,0.112,0.357,74.991,audio_features,spotify:track:7qF0FfuzBFwMe1lNHkEDxW,https://api.spotify.com/v1/tracks/7qF0FfuzBFwMe1lNHkEDxW,https://api.spotify.com/v1/audio-analysis/7qF0FfuzBFwMe1lNHkEDxW,166676,4
Brantley Gilbert,Country Must Be Country Wide,454JIJlQ8GvrCoBvSfq3KA,0.409,0.765,11,-5.696,1,0.0412,0.0249,6.16e-06,0.104,0.5,83.093,audio_features,spotify:track:454JIJlQ8GvrCoBvSfq3KA,https://api.spotify.com/v1/tracks/454JIJlQ8GvrCoBvSfq3KA,https://api.spotify.com/v1/audio-analysis/454JIJlQ8GvrCoBvSfq3KA,214827,4
Cody Johnson,The Painter,5DQU4Fmdx7Hs7pwtcZMSTK,0.512,0.709,2,-5.767,1,0.0327,0.0423,4.3e-06,0.107,0.261,97.971,audio_features,spotify:track:5DQU4Fmdx7Hs7pwtcZMSTK,https://api.spotify.com/v1/tracks/5DQU4Fmdx7Hs7pwtcZMSTK,https://api.spotify.com/v1/audio-analysis/5DQU4Fmdx7Hs7pwtcZMSTK,211413,4
Morgan Wallen,Country A$$ Shit,2Q6NVIPwqtosYBXQ0C00d0,0.619,0.927,10,-3.765,1,0.0346,0.0192,0.0,0.138,0.928,137.975,audio_features,spotify:track:2Q6NVIPwqtosYBXQ0C00d0,https://api.spotify.com/v1/tracks/2Q6NVIPwqtosYBXQ0C00d0,https://api.spotify.com/v1/audio-analysis/2Q6NVIPwqtosYBXQ0C00d0,186187,4
Tyler Hubbard,5 Foot 9,0U4iRayct65wsaBMQGiLbg,0.605,0.79,5,-5.576,1,0.0454,0.16,0.0,0.126,0.507,105.997,audio_features,spotify:track:0U4iRayct65wsaBMQGiLbg,https://api.spotify.com/v1/tracks/0U4iRayct65wsaBMQGiLbg,https://api.spotify.com/v1/audio-analysis/0U4iRayct65wsaBMQGiLbg,189773,4
Jon Pardi,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,0.562,0.688,7,-4.474,1,0.0263,0.0763,0.0,0.0863,0.617,108.017,audio_features,spotify:track:4ly1QBXEwYoDmje9rmEgC4,https://api.spotify.com/v1/tracks/4ly1QBXEwYoDmje9rmEgC4,https://api.spotify.com/v1/audio-analysis/4ly1QBXEwYoDmje9rmEgC4,202347,4
Jason Aldean,She's Country,0okmLlOW6vKrilXDvtRMfg,0.553,0.872,1,-2.832,0,0.0781,0.196,0.0,0.0659,0.638,172.139,audio_features,spotify:track:0okmLlOW6vKrilXDvtRMfg,https://api.spotify.com/v1/tracks/0okmLlOW6vKrilXDvtRMfg,https://api.spotify.com/v1/audio-analysis/0okmLlOW6vKrilXDvtRMfg,220573,4
Nate Smith,World on Fire,5ya0TmUQw2wHMkq36rPsnd,0.461,0.887,11,-4.871,0,0.0429,0.000219,0.0,0.104,0.411,95.964,audio_features,spotify:track:5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/tracks/5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/audio-analysis/5ya0TmUQw2wHMkq36rPsnd,189987,4
"Adam Calhoun, Demun Jones, Upchurch",Country,0nYcGSvV1ogjco3lRp2Eqy,0.702,0.663,2,-7.014,1,0.0891,0.0958,0.0,0.413,0.596,95.014,audio_features,spotify:track:0nYcGSvV1ogjco3lRp2Eqy,https://api.spotify.com/v1/tracks/0nYcGSvV1ogjco3lRp2Eqy,https://api.spotify.com/v1/audio-analysis/0nYcGSvV1ogjco3lRp2Eqy,206307,4
Cody Johnson,Country Boy Singin’ The Blues,1BXPjUeLMp5VzcF6nyqXdT,0.551,0.513,7,-5.817,0,0.0347,0.222,0.0,0.169,0.268,158.988,audio_features,spotify:track:1BXPjUeLMp5VzcF6nyqXdT,https://api.spotify.com/v1/tracks/1BXPjUeLMp5VzcF6nyqXdT,https://api.spotify.com/v1/audio-analysis/1BXPjUeLMp5VzcF6nyqXdT,232227,3
"Cody Johnson, Carrie Underwood",I'm Gonna Love You,6dayCflQl0ISXwZs6GBygC,0.552,0.494,3,-6.262,0,0.0318,0.358,2.94e-05,0.108,0.312,133.91,audio_features,spotify:track:6dayCflQl0ISXwZs6GBygC,https://api.spotify.com/v1/tracks/6dayCflQl0ISXwZs6GBygC,https://api.spotify.com/v1/audio-analysis/6dayCflQl0ISXwZs6GBygC,188107,4
Tee Grizzley,Country,3eQPJYfhgcW3T1ypwIZN7n,0.784,0.66,1,-5.813,1,0.308,0.226,0.0,0.117,0.505,150.169,audio_features,spotify:track:3eQPJYfhgcW3T1ypwIZN7n,https://api.spotify.com/v1/tracks/3eQPJYfhgcW3T1ypwIZN7n,https://api.spotify.com/v1/audio-analysis/3eQPJYfhgcW3T1ypwIZN7n,173512,4
Travis Tritt,Country Club,6o7BCdJjGvHBBPMb4ZrA68,0.805,0.57,4,-8.215,1,0.0272,0.194,1.46e-05,0.106,0.76,126.478,audio_features,spotify:track:6o7BCdJjGvHBBPMb4ZrA68,https://api.spotify.com/v1/tracks/6o7BCdJjGvHBBPMb4ZrA68,https://api.spotify.com/v1/audio-analysis/6o7BCdJjGvHBBPMb4ZrA68,190800,4
Old Dominion,Memory Lane,1nrgBXtczBXNSlqIezjwbR,0.647,0.774,6,-5.136,1,0.0362,0.0185,1.47e-05,0.0849,0.376,118.968,audio_features,spotify:track:1nrgBXtczBXNSlqIezjwbR,https://api.spotify.com/v1/tracks/1nrgBXtczBXNSlqIezjwbR,https://api.spotify.com/v1/audio-analysis/1nrgBXtczBXNSlqIezjwbR,172480,4
Good Morning,Country,3YXtKLwRdiHdy71pN5IHkk,0.58,0.86,9,-6.551,1,0.033,0.538,0.0807,0.185,0.619,155.798,audio_features,spotify:track:3YXtKLwRdiHdy71pN5IHkk,https://api.spotify.com/v1/tracks/3YXtKLwRdiHdy71pN5IHkk,https://api.spotify.com/v1/audio-analysis/3YXtKLwRdiHdy71pN5IHkk,240547,4
"Hank Williams, Jr.",Country State Of Mind,262r1LfhrukxXCMymvPaTA,0.711,0.626,2,-8.992,1,0.0268,0.00592,0.0,0.0696,0.65,117.661,audio_features,spotify:track:262r1LfhrukxXCMymvPaTA,https://api.spotify.com/v1/tracks/262r1LfhrukxXCMymvPaTA,https://api.spotify.com/v1/audio-analysis/262r1LfhrukxXCMymvPaTA,237867,4
Lee Brice,One Of Them Girls,6uyiyatWPCqC59Mm4rO8xL,0.643,0.79,4,-6.079,1,0.0461,0.29,0.0,0.107,0.808,95.981,audio_features,spotify:track:6uyiyatWPCqC59Mm4rO8xL,https://api.spotify.com/v1/tracks/6uyiyatWPCqC59Mm4rO8xL,https://api.spotify.com/v1/audio-analysis/6uyiyatWPCqC59Mm4rO8xL,188893,4
Penny and Sparrow,Country,4vYEOiAOlID8WQ3SWGiKBc,0.686,0.597,5,-6.315,1,0.0272,0.235,0.00285,0.287,0.555,131.999,audio_features,spotify:track:4vYEOiAOlID8WQ3SWGiKBc,https://api.spotify.com/v1/tracks/4vYEOiAOlID8WQ3SWGiKBc,https://api.spotify.com/v1/audio-analysis/4vYEOiAOlID8WQ3SWGiKBc,123136,4
Joanne Gardiner,Countryside Mansion,0TsKyZ33N0VP8ZXYgTXPUz,0.492,0.014,4,-24.46,1,0.0346,0.994,0.959,0.0983,0.408,85.72,audio_features,spotify:track:0TsKyZ33N0VP8ZXYgTXPUz,https://api.spotify.com/v1/tracks/0TsKyZ33N0VP8ZXYgTXPUz,https://api.spotify.com/v1/audio-analysis/0TsKyZ33N0VP8ZXYgTXPUz,182214,4
Tyler Hubbard,Dancin’ In The Country,2KtGiBi5CrX2ERPD2PAS34,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,audio_features,spotify:track:2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/tracks/2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/audio-analysis/2KtGiBi5CrX2ERPD2PAS34,179640,4
Toby Wilbur,Country,3Ru0mMHcMnXexRfak1GTA7,0.58,0.404,2,-13.82,1,0.0258,0.368,4.26e-06,0.297,0.644,73.982,audio_features,spotify:track:3Ru0mMHcMnXexRfak1GTA7,https://api.spotify.com/v1/tracks/3Ru0mMHcMnXexRfak1GTA7,https://api.spotify.com/v1/audio-analysis/3Ru0mMHcMnXexRfak1GTA7,176843,4
"Nelly, City Spud",Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,0.85,0.7,7,-6.49,1,0.0478,0.0607,1.66e-06,0.244,0.724,101.875,audio_features,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/tracks/3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/audio-analysis/3Gf5nttwcX9aaSQXRWidEZ,291782,4
Chase Matthew,County Line,1V8LJmUEAleAHmBUaD0ZFI,0.536,0.772,3,-6.027,0,0.0339,0.206,0.0,0.163,0.423,134.019,audio_features,spotify:track:1V8LJmUEAleAHmBUaD0ZFI,https://api.spotify.com/v1/tracks/1V8LJmUEAleAHmBUaD0ZFI,https://api.spotify.com/v1/audio-analysis/1V8LJmUEAleAHmBUaD0ZFI,208209,4
Empire Of The Sun,Country,4S4DVFQkLbfhZbGQxoRtPR,0.468,0.457,7,-10.451,1,0.0284,0.633,0.941,0.105,0.13,118.003,audio_features,spotify:track:4S4DVFQkLbfhZbGQxoRtPR,https://api.spotify.com/v1/tracks/4S4DVFQkLbfhZbGQxoRtPR,https://api.spotify.com/v1/audio-analysis/4S4DVFQkLbfhZbGQxoRtPR,304493,4
Flatland Cavalry,Countryman,7o5rdMOkfBWmR2TNRSndOj,0.459,0.742,6,-5.668,1,0.0453,0.0775,6.71e-05,0.0926,0.509,156.09,audio_features,spotify:track:7o5rdMOkfBWmR2TNRSndOj,https://api.spotify.com/v1/tracks/7o5rdMOkfBWmR2TNRSndOj,https://api.spotify.com/v1/audio-analysis/7o5rdMOkfBWmR2TNRSndOj,257333,4
Chris Stapleton,Think I'm In Love With You,65M92JpTbAdHmTQm4jGaDa,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,audio_features,spotify:track:65M92JpTbAdHmTQm4jGaDa,https://api.spotify.com/v1/tracks/65M92JpTbAdHmTQm4jGaDa,https://api.spotify.com/v1/audio-analysis/65M92JpTbAdHmTQm4jGaDa,222800,4
Upchurch,Country,270L3EaWQaOwq4tQjpkeNz,0.612,0.785,8,-5.765,1,0.0379,0.143,0.0,0.0853,0.639,87.919,audio_features,spotify:track:270L3EaWQaOwq4tQjpkeNz,https://api.spotify.com/v1/tracks/270L3EaWQaOwq4tQjpkeNz,https://api.spotify.com/v1/audio-analysis/270L3EaWQaOwq4tQjpkeNz,159073,4
James Taylor,Country Road - 2019 Remaster,2OBaVeRFXblWxoZHC4sryf,0.52,0.297,2,-17.211,1,0.0449,0.753,0.000562,0.109,0.677,156.059,audio_features,spotify:track:2OBaVeRFXblWxoZHC4sryf,https://api.spotify.com/v1/tracks/2OBaVeRFXblWxoZHC4sryf,https://api.spotify.com/v1/audio-analysis/2OBaVeRFXblWxoZHC4sryf,202267,4
Morgan Wallen,865,0sKEilrw1GrBlG6qsTCrP4,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,audio_features,spotify:track:0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/tracks/0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4,190680,4
Sam Evian,Country,7jAk0PS7S4kPdNqKasRvAQ,0.609,0.677,9,-8.361,1,0.0304,0.176,0.304,0.153,0.877,184.03,audio_features,spotify:track:7jAk0PS7S4kPdNqKasRvAQ,https://api.spotify.com/v1/tracks/7jAk0PS7S4kPdNqKasRvAQ,https://api.spotify.com/v1/audio-analysis/7jAk0PS7S4kPdNqKasRvAQ,167799,3
"Nelly, Tyler Hubbard",Country Boy Do (feat. Tyler Hubbard),24MH7MzHl5XAYlmMdn85CF,0.551,0.9,1,-3.196,1,0.09,0.0371,0.0,0.192,0.538,163.847,audio_features,spotify:track:24MH7MzHl5XAYlmMdn85CF,https://api.spotify.com/v1/tracks/24MH7MzHl5XAYlmMdn85CF,https://api.spotify.com/v1/audio-analysis/24MH7MzHl5XAYlmMdn85CF,176983,4
Tyler Hubbard,5 Foot 9,6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,audio_features,spotify:track:6AqwH2Y9FJwhUE2dCSkw1u,https://api.spotify.com/v1/tracks/6AqwH2Y9FJwhUE2dCSkw1u,https://api.spotify.com/v1/audio-analysis/6AqwH2Y9FJwhUE2dCSkw1u,189780,4
Mo Pitney,Country,2IXMjOFeM8ThwRjDIjNjtO,0.634,0.646,3,-7.586,1,0.0242,0.146,2.05e-05,0.345,0.578,104.95,audio_features,spotify:track:2IXMjOFeM8ThwRjDIjNjtO,https://api.spotify.com/v1/tracks/2IXMjOFeM8ThwRjDIjNjtO,https://api.spotify.com/v1/audio-analysis/2IXMjOFeM8ThwRjDIjNjtO,196253,4
"Upchurch, Bottleneck",Country Boy Shit,1LfBpO6PJ4gjl1ecrka3h1,0.862,0.921,2,-3.937,1,0.0534,0.232,1.22e-05,0.31,0.541,140.0,audio_features,spotify:track:1LfBpO6PJ4gjl1ecrka3h1,https://api.spotify.com/v1/tracks/1LfBpO6PJ4gjl1ecrka3h1,https://api.spotify.com/v1/audio-analysis/1LfBpO6PJ4gjl1ecrka3h1,196661,4
Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,audio_features,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478,4
Penny and Sparrow,Country,3meZXlqAMKa5UxU5Arunwg,0.686,0.597,5,-6.315,1,0.0272,0.235,0.00285,0.287,0.555,131.999,audio_features,spotify:track:3meZXlqAMKa5UxU5Arunwg,https://api.spotify.com/v1/tracks/3meZXlqAMKa5UxU5Arunwg,https://api.spotify.com/v1/audio-analysis/3meZXlqAMKa5UxU5Arunwg,123136,4
Randy Houser,How Country Feels,26t3KexbqzF3sRWgczYyja,0.678,0.839,7,-3.617,1,0.0394,0.0379,0.0,0.0742,0.772,104.952,audio_features,spotify:track:26t3KexbqzF3sRWgczYyja,https://api.spotify.com/v1/tracks/26t3KexbqzF3sRWgczYyja,https://api.spotify.com/v1/audio-analysis/26t3KexbqzF3sRWgczYyja,185907,4
Cody Johnson,The Painter,6UoKX6uLJwhsnyTp5k5StP,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,spotify:track:6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/tracks/6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/audio-analysis/6UoKX6uLJwhsnyTp5k5StP,211413,4
"Keith Jarrett, Jan Garbarek, Palle Danielsson, Jon Christensen",Country,79QByJn6Hp4A677VMSJszm,0.518,0.315,3,-14.831,1,0.0302,0.798,0.327,0.101,0.479,143.64,audio_features,spotify:track:79QByJn6Hp4A677VMSJszm,https://api.spotify.com/v1/tracks/79QByJn6Hp4A677VMSJszm,https://api.spotify.com/v1/audio-analysis/79QByJn6Hp4A677VMSJszm,300707,4
Thomas Rhett,What’s Your Country Song,4oR2cCQGs0Yt0Mgr2diV6V,0.359,0.706,5,-6.151,1,0.0309,0.000602,0.0,0.285,0.479,174.079,audio_features,spotify:track:4oR2cCQGs0Yt0Mgr2diV6V,https://api.spotify.com/v1/tracks/4oR2cCQGs0Yt0Mgr2diV6V,https://api.spotify.com/v1/audio-analysis/4oR2cCQGs0Yt0Mgr2diV6V,171333,4
Dierks Bentley,Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,0.423,0.73,9,-5.566,1,0.032,0.00495,1.13e-05,0.238,0.66,205.972,audio_features,spotify:track:1soxUgYIZb1qx1c7o1Lc7z,https://api.spotify.com/v1/tracks/1soxUgYIZb1qx1c7o1Lc7z,https://api.spotify.com/v1/audio-analysis/1soxUgYIZb1qx1c7o1Lc7z,254467,4
Empire Of The Sun,Country,1u54UIoQvEfClw2NwVLS2n,0.455,0.447,7,-10.403,1,0.0299,0.652,0.948,0.103,0.121,117.897,audio_features,spotify:track:1u54UIoQvEfClw2NwVLS2n,https://api.spotify.com/v1/tracks/1u54UIoQvEfClw2NwVLS2n,https://api.spotify.com/v1/audio-analysis/1u54UIoQvEfClw2NwVLS2n,304493,4
Bailey Zimmerman,New To Country,11nmHJICkQ9emiYJJINygH,0.575,0.931,8,-4.995,0,0.0356,0.198,1.72e-05,0.39,0.924,146.029,audio_features,spotify:track:11nmHJICkQ9emiYJJINygH,https://api.spotify.com/v1/tracks/11nmHJICkQ9emiYJJINygH,https://api.spotify.com/v1/audio-analysis/11nmHJICkQ9emiYJJINygH,177123,4
Kane Brown,I Can Feel It,2eGvz6O6tVnh9nKiitDEhZ,0.529,0.866,3,-5.816,0,0.0452,0.00281,0.00526,0.0287,0.55,116.004,audio_features,spotify:track:2eGvz6O6tVnh9nKiitDEhZ,https://api.spotify.com/v1/tracks/2eGvz6O6tVnh9nKiitDEhZ,https://api.spotify.com/v1/audio-analysis/2eGvz6O6tVnh9nKiitDEhZ,163600,4
Porches,Country,5n06Jroq3ruFU5WJYnN8JO,0.532,0.264,2,-9.934,1,0.0272,0.599,0.000713,0.19,0.152,110.048,audio_features,spotify:track:5n06Jroq3ruFU5WJYnN8JO,https://api.spotify.com/v1/tracks/5n06Jroq3ruFU5WJYnN8JO,https://api.spotify.com/v1/audio-analysis/5n06Jroq3ruFU5WJYnN8JO,112591,4
Walker Hayes,Fancy Like,58UKC45GPNTflCN6nwCUeF,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,audio_features,spotify:track:58UKC45GPNTflCN6nwCUeF,https://api.spotify.com/v1/tracks/58UKC45GPNTflCN6nwCUeF,https://api.spotify.com/v1/audio-analysis/58UKC45GPNTflCN6nwCUeF,161853,4
Old Dominion,Coming Home,2JyM1u6xSHBJVpbeFrC4B5,0.593,0.903,5,-4.803,1,0.0477,0.0139,0.0,0.104,0.789,116.093,audio_features,spotify:track:2JyM1u6xSHBJVpbeFrC4B5,https://api.spotify.com/v1/tracks/2JyM1u6xSHBJVpbeFrC4B5,https://api.spotify.com/v1/audio-analysis/2JyM1u6xSHBJVpbeFrC4B5,170240,4
